Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"CSS basic layout ",2026-01-29,2026-02-05,6 day,0,"","",31,"<p><br></p>"
1,2,"layout of website ",2026-01-29,2026-02-06,7 day,0,"","",,"<p><br></p>"
1,3,"team meeting ",2026-02-06,2026-02-06,1 day,0,"","",,"<p><br></p>"
1,4,"logo completed ",2026-01-29,2026-02-06,7 day,0,"","",61,"<p><br></p>"
1,5,"progress meeting 1 ",2026-02-12,2026-02-12,1 day,0,"","",,"<p><br></p>"
1,22,"progress meeting 1 ",2026-02-12,2026-02-12,0 day,0,"","",,"<p><br></p>"
1,6,"navigation hub ",2026-02-12,2026-02-27,12 day,0,"","",61,"<p><br></p>"
1,7,"complete home page ",2026-02-12,2026-02-26,11 day,0,"","",31,"<p><br></p>"
1,8,"development team page ",2026-02-12,2026-02-26,11 day,0,"","",121,"<p><br></p>"
1,9,"contact us page ",2026-02-12,2026-02-26,11 day,0,"","",121,"<p><br></p>"
1,19,"teams meeting ",2026-02-27,2026-02-27,1 day,0,"","",,"<p><br></p>"
1,17,"lighthouse testing ",2026-03-02,2026-03-04,3 day,0,"","",121,"<p><br></p>"
1,20,"progress meeting 2",2026-03-05,2026-03-05,1 day,0,"","",,"<p><br></p>"
1,21,"progress meeting 2",2026-03-05,2026-03-05,0 day,0,"","",,"<p><br></p>"
1,10,"topic 1 page",2026-03-06,2026-03-19,10 day,0,"","",31,"<p><br></p>"
1,11,"topic 2 page",2026-03-06,2026-03-19,10 day,0,"","",61,"<p><br></p>"
1,12,"topic 3 page",2026-03-06,2026-03-19,10 day,0,"","",121,"<p><br></p>"
1,13,"topic 4 page",2026-01-29,2026-03-19,36 day,0,"","",331,"<p><br></p>"
1,14,"topic 5 page",2026-01-29,2026-03-19,36 day,0,"","",301,"<p><br></p>"
1,15,"user progress state ",2026-01-29,2026-03-19,36 day,0,"","",301,"<p><br></p>"
1,18,"team meeting ",2026-03-20,2026-03-20,1 day,0,"","",,"<p><br></p>"
1,16,"lighthouse testing ",2026-03-19,2026-03-19,1 day,0,"","",121,"<p><br></p>"
1,23,"progress meeting 3 ",2026-03-26,2026-03-26,1 day,0,"","",,"<p><br></p>"
1,25,"progress meeting 3 ",2026-03-26,2026-03-26,0 day,0,"","",,"<p><br></p>"